TIMESTAMP|USER_ID|EVENT_TYPE|PRODUCT_ID|GEO_LOC|IP_ADDRESS|STATUS
2026-02-23T08:14:22Z|USR_9921|PAGE_VIEW|NULL|US-NY|192.168.1.45|SUCCESS
2026-02-23T08:15:01Z|USR_4430|ADD_TO_CART|PROD_A12|UK-LON|10.0.0.122|SUCCESS
2026-02-23T08:15:15Z|USR_9921|SEARCH|NULL|US-NY|192.168.1.45|SUCCESS
2026-02-23T08:16:40Z|USR_1002|PURCHASE|PROD_B44|CA-ON|172.16.254.1|ERROR_TIMEOUT
2026-02-23T08:17:12Z|USR_4430|PURCHASE|PROD_A12|UK-LON|10.0.0.122|SUCCESS
2026-02-23T08:18:05Z|NULL|PAGE_vIEW|NULL|DE-BER|82.165.12.33|SUCCESS
2026-02-23T08:19:33Z|USR_1002|PURCHASE|PROD_B44|CA-ON|172.16.254.1|SUCCESS
2026-02-23T08:20:00Z|USR_5567|LOGIN|NULL|FR-PAR|NULL|FAILURE_AUTH
2026-02-23T08:21:11Z|USR_5567|LOGIN|NULL|FR-PAR|109.12.4.201|SUCCESS
2026-02-23T08:22:45Z|USR_9921|LOGOUT|NULL|US-NY|192.168.1.45|SUCCESS
2026-02-23T08:25:30Z|USR_2210|ADD_TO_CART|PROD_C99|JP-TYO|153.22.1.88|SUCCESS
2026-02-23T08:26:12Z|USR_2210|REMOVE_FROM_CART|PROD_C99|JP-TYO|153.22.1.88|SUCCESS
